stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
00264,,"14300 TURNEY RD",,  41.394457, -81.583581,,,0,
00269,,"14228 PEARL RD",,  41.310959, -81.835416,,,0,
00272,,"14201 PURITAS AV",,  41.433494, -81.793316,,,0,
00274,,"14401 TURNEY RD",,  41.393912, -81.581321,,,0,
00275,,"14600 TURNEY RD (ST. MARTIN'S CHURCH)",,  41.393838, -81.581435,,,0,
00287,,"1470 WARREN RD",,  41.482877, -81.799628,,,0,
00291,,"14701 TURNEY RD",,  41.393540, -81.578801,,,0,
00292,,"14730 TURNEY RD",,  41.393445, -81.578849,,,0,
00293,,"1476 WARRENSVILLE CTR RD",,  41.519946, -81.536592,,,0,
00301,,"1491 CHARDON RD",,  41.571330, -81.535078,,,0,
00302,,"BARTLETT AV & E 149TH ST",,  41.457643, -81.576746,,,0,
00303,,"14993 PEARL RD",,  41.306458, -81.835036,,,0,
00307,,"15018 LAKESHORE BLVD",,  41.573389, -81.577325,,,0,
00308,,"EUCLID AV & E 14TH ST",,  41.500952, -81.681294,,,0,
00309,,"1518 WARRENSVILLE CTR RD",,  41.518028, -81.536580,,,0,
