stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
03710,,"E 125TH ST & CARNATION CT",,  41.539411, -81.597574,,,0,
03711,,"E 125TH ST & CARNATION CT",,  41.539412, -81.597684,,,0,
03712,,"E 125TH ST & ST. CLAIR AV",,  41.541154, -81.597609,,,0,
03713,,"E 125TH ST & ST. CLAIR AV",,  41.541076, -81.597719,,,0,
03714,,"E 125TH ST & WOODSIDE AV",,  41.535950, -81.597556,,,0,
03715,,"E 125TH ST & WOODSIDE AV",,  41.536223, -81.597673,,,0,
03718,,"E 130TH ST & ABELL AV",,  41.470969, -81.591816,,,0,
03719,,"E 130TH ST & ABELL AV",,  41.471244, -81.591929,,,0,
03723,,"E 130TH ST & FOREST AV",,  41.478082, -81.590703,,,0,
03724,,"E 130TH ST & PARKHILL AV",,  41.474282, -81.591815,,,0,
03725,,"E 130TH ST & GRIFFING AV",,  41.475076, -81.591945,,,0,
03726,,"E 130TH ST & IMPERIAL AV",,  41.472976, -81.591927,,,0,
03727,,"E 130TH ST & KINSMAN RD",,  41.465553, -81.591785,,,0,
03728,,"E 130TH ST & KINSMAN RD",,  41.465513, -81.591895,,,0,
03729,,"E 130TH ST & LORENZO AV",,  41.472511, -81.591820,,,0,
03730,,"E 130TH ST & METCALF AV",,  41.467134, -81.591803,,,0,
03731,,"E 130TH ST & METCALF AV",,  41.467135, -81.591913,,,0,
03733,,"E 130TH ST & UNION AV",,  41.463878, -81.591947,,,0,
03734,,"E 131ST ST & ALVIN AV",,  41.435302, -81.592196,,,0,
03737,,"E 131ST ST & BARTLETT AV",,  41.457369, -81.591146,,,0,
03738,,"E 131ST ST & BEACHWOOD AV",,  41.442053, -81.591048,,,0,
03739,,"E 131ST ST & BEACHWOOD AV",,  41.442326, -81.591161,,,0,
03740,,"E 131ST ST & BENHAM AV",,  41.461795, -81.591282,,,0,
03741,,"E 131ST ST & BENWOOD AV",,  41.450579, -81.591135,,,0,
03742,,"E 131ST ST & BENWOOD AV",,  41.450854, -81.591251,,,0,
03743,,"E 131ST ST & COATH AV",,  41.455143, -81.591137,,,0,
03744,,"E 131ST ST & COATH AV",,  41.455248, -81.591252,,,0,
03746,,"E 131ST ST & DOVE AV",,  41.452512, -81.591243,,,0,
03747,,"E 131ST ST & GAY AV",,  41.457024, -81.591250,,,0,
03748,,"E 131ST ST & GLENDALE AV",,  41.452572, -81.591136,,,0,
03749,,"E 131ST ST & HARVARD AV E",,  41.449234, -81.591135,,,0,
03750,,"E 131ST ST & HARVARD AV E",,  41.448960, -81.591248,,,0,
03751,,"E 131ST ST & HOLBURN AV",,  41.458874, -81.591264,,,0,
03752,,"E 131ST ST & LAMBERT AV",,  41.460973, -81.591184,,,0,
03753,,"E 131ST ST & MAPLEROW AV",,  41.438032, -81.591042,,,0,
03754,,"E 131ST ST & MAPLEROW AV",,  41.438308, -81.591147,,,0,
03755,,"E 131ST ST & MARSTON AV",,  41.447079, -81.591125,,,0,
03756,,"E 131ST ST & MARSTON AV",,  41.447355, -81.591230,,,0,
03757,,"E 131ST ST & MELGROVE AV",,  41.435494, -81.591865,,,0,
03759,,"E 131ST ST & MILES AV",,  41.445318, -81.591244,,,0,
03760,,"E 131ST ST & MILES AV",,  41.445323, -81.591134,,,0,
03761,,"CAINE AV & E 131ST ST LOOP",,  41.445090, -81.590514,,,0,
03762,,"E 131ST ST & REXWOOD AV",,  41.436416, -81.591046,,,0,
03763,,"E 131ST ST & REXWOOD AV",,  41.436696, -81.591133,,,0,
03764,,"E 131ST ST & S PARKWAY DR",,  41.439723, -81.591033,,,0,
03766,,"E 131ST ST & SOUTHVIEW AV",,  41.454199, -81.591161,,,0,
03769,,"E 131ST ST & UNION AV",,  41.463594, -81.591144,,,0,
03789,,"E 14TH ST & BRONSON CT",,  41.498186, -81.679499,,,0,
03790,,"E 14TH ST & CARNEGIE AV",,  41.497497, -81.678665,,,0,
03792,,"E 14TH ST & ERIE CT",,  41.499178, -81.680356,,,0,
03795,,"E 140TH ST & ARGUS AV",,  41.561154, -81.585065,,,0,
03796,,"E 140TH ST & ARGUS AV",,  41.561151, -81.585351,,,0,
03797,,"E 140TH ST & ASPINWALL AV",,  41.557820, -81.585057,,,0,
03798,,"E 140TH ST & ASPINWALL AV",,  41.557976, -81.585406,,,0,
03799,,"E 140TH ST & COIT RD",,  41.550333, -81.585078,,,0,
03800,,"E 140TH ST & COIT RD",,  41.550623, -81.585348,,,0,
03801,,"E 140TH ST & DARLEY AV",,  41.562760, -81.585087,,,0,
03802,,"E 140TH ST & DARLEY AV",,  41.563034, -81.585383,,,0,
03803,,"E 140TH ST & DEISE AV",,  41.559749, -81.585049,,,0,
03804,,"E 140TH ST & DEISE AV",,  41.559751, -81.585359,,,0,
03805,,"E 140TH ST & DIANA AV",,  41.563553, -81.585386,,,0,
03807,,"E 140TH ST & LAKESHORE BLVD",,  41.568884, -81.585246,,,0,
03808,,"E 140TH ST & MAXWELL AV",,  41.555896, -81.585051,,,0,
03809,,"E 140TH ST & MAXWELL AV",,  41.555618, -81.585380,,,0,
03810,,"E 140TH ST & NELL AV",,  41.553659, -81.585028,,,0,
03811,,"E 140TH ST & NELL AV",,  41.553922, -81.585368,,,0,
03812,,"E 140TH ST & OTHELLO AV",,  41.565942, -81.585280,,,0,
03813,,"E 140TH ST & ST. CLAIR AV",,  41.549724, -81.585134,,,0,
03814,,"E 140TH ST & ST. CLAIR AV",,  41.549241, -81.585426,,,0,
03815,,"E 140TH ST & WESTROPP AV",,  41.567687, -81.585179,,,0,
03821,,"E 143RD ST & CHRISTINE AV",,  41.437520, -81.581777,,,0,
03822,,"E 143RD ST & CHRISTINE AV",,  41.437620, -81.581885,,,0,
03823,,"E 143RD ST & CRANWOOD AV",,  41.440474, -81.581834,,,0,
03824,,"E 143RD ST & CRANWOOD AV",,  41.440747, -81.581947,,,0,
03828,,"E 143RD ST & REXWOOD AV",,  41.436817, -81.581761,,,0,
03829,,"E 143RD ST & SAYBROOK AV",,  41.435795, -81.581884,,,0,
03833,,"E 152ND ST & ASPINWALL AV",,  41.558070, -81.575392,,,0,
03834,,"E 152ND ST & ASPINWALL AV",,  41.558065, -81.575524,,,0,
03835,,"E 152ND ST & COIT AV",,  41.542451, -81.575419,,,0,
03836,,"E 152ND ST & DARWIN AV",,  41.565009, -81.575470,,,0,
03837,,"E 152ND ST & ELM AV",,  41.542801, -81.575305,,,0,
03839,,"E 152ND ST & PEPPER AV",,  41.559024, -81.575558,,,0,
03840,,"E 152ND ST & PLATO AV",,  41.556394, -81.575511,,,0,
03841,,"E 152ND ST & SARANAC RD",,  41.560823, -81.575481,,,0,
03843,,"E 152ND ST & ST. CLAIR AV",,  41.553714, -81.575352,,,0,
03844,,"E 152ND ST & ST. CLAIR AV",,  41.553380, -81.575481,,,0,
03845,,"E 152ND ST & SYLVIA AV",,  41.566839, -81.575469,,,0,
03846,,"E 152ND ST & SYLVIA AV",,  41.566569, -81.575612,,,0,
03847,,"E 152ND ST & THAMES AV",,  41.565647, -81.575621,,,0,
03848,,"E 152ND ST & UTOPIA AV",,  41.555386, -81.575365,,,0,
03849,,"E 152ND ST & WOODWORTH RD",,  41.545303, -81.575416,,,0,
03850,,"E 152ND ST & YORICK AV",,  41.551694, -81.575314,,,0,
03851,,"E 152ND ST & YORICK AV",,  41.551695, -81.575446,,,0,
03852,,"E 153RD ST & NAPLES AV",,  41.433491, -81.574882,,,0,
03853,,"E 153RD ST & NAPLES AV",,  41.433435, -81.574773,,,0,
03854,,"E 153RD ST & OHIO AV",,  41.431553, -81.574840,,,0,
03855,,"E 153RD ST & SEVILLE RD",,  41.434854, -81.574699,,,0,
03856,,"E 153RD ST & SEVILLE RD",,  41.434909, -81.574778,,,0,
03857,,"E 154TH ST & INVERMERE AV",,  41.456500, -81.573164,,,0,
03858,,"E 154TH ST & INVERMERE AV",,  41.456351, -81.573050,,,0,
03859,,"E 156TH ST & LAKESHORE BLVD",,  41.578530, -81.571945,,,0,
03860,,"E 156TH ST & MACAULEY AV",,  41.573318, -81.571865,,,0,
